City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,onverwacht,5.5833,-55.1833,25.92,94,75,7.2,SR,1731365998
229,iskateley,67.6803,53.1512,-7.35,98,96,0.61,RU,1731365999
230,tazacorte,28.629,-17.9293,21.75,72,0,5.14,ES,1731365760
231,karaman,37.0833,33.25,7.17,77,14,1.67,TR,1731366002
232,caxias,38.7031,-9.2767,18.91,62,0,5.14,PT,1731366006
233,parabel',58.6978,81.4825,-10.62,90,100,5.81,RU,1731366008
234,mahibadhoo,3.7833,72.9667,27.61,72,39,1.86,MV,1731366009
235,enewetak,11.3474,162.3373,28.56,78,57,8.21,MH,1731366010
236,newman,37.3138,-121.0208,12.24,87,90,2.24,US,1731366011
237,gubkin,51.2817,37.5458,-0.14,85,80,1.37,RU,1731366012
238,korsakov,46.6328,142.7813,-1.09,85,100,4.44,RU,1731366013
239,bojia,26.4672,111.9681,17.93,69,39,1.06,CN,1731366014
240,gambiran satu,-8.3939,114.1464,27.94,71,83,0.54,ID,1731366015
241,boa vista,2.8197,-60.6733,32.99,52,20,3.6,BR,1731365765
242,bhagalpur,25.25,87.0,21.42,66,0,0.73,IN,1731366017
243,chegutu,-18.1302,30.1407,23.55,57,100,5.94,ZW,1731366018
244,raja,8.4596,25.678,24.37,36,55,1.2,SS,1731366019
245,mugango,-1.6833,33.7,21.18,77,90,1.34,TZ,1731366020
246,baruun-urt,46.6806,113.2792,-3.17,58,9,1.71,MN,1731366022
247,cannonvale,-20.2833,148.7,27.66,59,97,2.73,AU,1731366023
248,bridgewater,44.3835,-64.5155,11.73,92,100,2.57,CA,1731366019
249,arish,31.1316,33.7984,19.96,72,70,1.88,EG,1731366025
250,cobija,-11.0267,-68.7692,34.1,55,40,5.14,BO,1731366026
251,sredneuralsk,56.9892,60.4666,-8.83,92,74,4.23,RU,1731366027
252,remire-montjoly,4.9167,-52.2667,26.02,89,75,1.54,GF,1731366028
253,yellandu,17.6,80.3333,20.42,69,87,1.52,IN,1731366030
254,hotan,37.0997,79.9269,8.26,55,100,1.86,CN,1731366031
255,hawaiian paradise park,19.5933,-154.9731,26.04,83,16,0.89,US,1731366032
256,avra valley,32.4379,-111.3154,28.16,16,0,4.12,US,1731366033
257,rio san juan,19.6439,-70.0763,25.17,90,100,3.67,DO,1731366034
258,hirara,24.8,125.2833,26.15,89,75,5.14,JP,1731366036
259,kill devil hills,36.0307,-75.676,21.1,82,0,5.14,US,1731365757
260,urangan,-25.3,152.9,24.8,76,100,6.81,AU,1731366038
261,dzuunharaa,48.8523,106.4579,-2.36,57,100,1.74,MN,1731366039
262,zvishavane,-20.3267,30.0665,19.92,80,100,4.39,ZW,1731366040
263,khanpur,28.6453,70.6567,22.51,24,94,2.66,PK,1731366041
264,la jagua de ibirico,9.5623,-73.3341,24.66,89,100,1.61,CO,1731366015
265,daru,-9.0763,143.2092,28.0,80,100,5.3,PG,1731366043
266,walvis bay,-22.9575,14.5053,14.53,88,0,3.6,NA,1731366044
267,igarka,67.4667,86.5833,-22.88,93,100,4.78,RU,1731365811
268,mount isa,-20.7333,139.5,31.87,31,80,2.57,AU,1731366046
269,salto,-31.3833,-57.9667,19.93,66,66,2.68,UY,1731365770
270,iaciara,-14.0958,-46.6317,22.24,94,100,3.53,BR,1731366048
271,namibe,-15.1961,12.1522,21.39,72,2,2.3,AO,1731366050
272,altai,46.3722,96.2583,-5.85,65,30,4.77,MN,1731366052
273,chibougamau,49.9168,-74.3659,-0.21,100,100,5.14,CA,1731365936
274,tromso,69.6496,18.957,4.01,87,75,5.66,NO,1731366054
275,vila franca do campo,37.7167,-25.4333,20.23,99,96,7.39,PT,1731366055
276,robertsport,6.7533,-11.3686,27.24,83,26,3.54,LR,1731366056
277,freetown,8.484,-13.2299,27.06,81,24,3.16,SL,1731366058
278,borazjan,29.2666,51.2159,24.88,49,1,0.53,IR,1731366059
279,marsa alam,25.0757,34.8918,22.09,59,0,5.09,EG,1731366060
280,kingston,17.997,-76.7936,28.53,79,20,1.03,JM,1731366001
281,usinsk,65.9939,57.5281,-12.86,100,99,2.54,RU,1731365672
282,shache,38.4167,77.2406,6.88,66,27,1.77,CN,1731366064
283,vytegra,61.0064,36.4481,-0.56,86,100,2.04,RU,1731366065
284,tarnogskiy gorodok,60.4997,43.5761,-1.22,90,91,4.17,RU,1731366066
285,kodiak,57.79,-152.4072,3.01,64,50,2.13,US,1731366067
286,sungai penuh,-2.0833,101.3833,18.95,94,100,1.34,ID,1731366068
287,el granada,37.5027,-122.4694,15.66,79,0,5.14,US,1731366069
288,fisterra,42.9049,-9.2629,15.16,74,18,9.41,ES,1731366070
289,dwarka,22.2394,68.9678,26.96,65,2,4.18,IN,1731366071
290,sur,22.5667,59.5289,26.48,52,3,2.37,OM,1731366072
291,east london,-33.0153,27.9116,16.6,86,2,2.47,ZA,1731365894
292,papao,-17.75,-149.55,27.82,88,99,7.76,PF,1731365502
293,birjand,32.8663,59.2211,5.26,38,0,3.09,IR,1731365920
294,enoch,37.7733,-113.0244,16.75,25,0,3.58,US,1731366077
295,ixtlahuacan del rio,20.8667,-103.25,27.93,27,10,1.78,MX,1731366079
296,vorkuta,67.5,64.0,-13.08,97,100,2.66,RU,1731365654
297,stettler,52.3168,-112.7186,9.49,55,96,7.57,CA,1731366082
298,la ronge,55.1001,-105.2842,1.14,75,100,7.2,CA,1731366083
299,vuktyl,63.8567,57.3094,-7.54,96,100,1.78,RU,1731366084
300,port moresby,-9.4431,147.1797,27.68,78,20,1.03,PG,1731366085
301,vanino,49.0869,140.2543,-3.11,79,100,2.29,RU,1731366087
302,campanha,-21.8361,-45.4006,22.28,65,33,1.09,BR,1731366038
303,usol'ye,59.4268,56.6808,-5.68,90,100,3.44,RU,1731366089
304,dampit,-8.2116,112.7493,23.39,89,97,0.73,ID,1731366090
305,yangquan,37.8575,113.5633,9.93,82,46,0.78,CN,1731366091
306,fort st. john,56.2499,-120.8529,-1.06,93,100,2.57,CA,1731366093
307,okhotsk,59.3833,143.3,-14.13,69,94,9.73,RU,1731366095
308,greymouth,-42.4667,171.2,14.44,54,53,3.01,NZ,1731366097
309,baharly,38.4362,57.4316,13.68,58,100,0.92,TM,1731366098
310,venado tuerto,-33.7456,-61.9688,15.32,26,0,3.62,AR,1731366100
311,kashgar,39.4547,75.9797,6.56,52,20,3.0,CN,1731366101
312,calatayud,41.3535,-1.6432,10.69,85,8,0.47,ES,1731366103
313,san antonio de pale,-1.4014,5.6325,25.94,84,58,4.44,GQ,1731365649
314,cooma,-36.2333,149.1333,20.32,41,45,2.08,AU,1731366105
315,brejinho,-6.1908,-35.3567,22.64,79,99,2.34,BR,1731366106
316,narvik,68.4384,17.4272,4.34,96,97,2.23,NO,1731366107
317,pacific grove,36.6177,-121.9166,13.82,92,40,1.79,US,1731365838
318,burang,30.25,81.1667,-3.08,71,25,2.65,CN,1731365651
319,valparaiso,-33.0393,-71.6273,26.8,43,0,9.26,CL,1731366110
320,tateyama,34.9833,139.8667,17.95,74,67,1.41,JP,1731366111
321,barranca,-10.75,-77.7667,18.8,81,38,4.22,PE,1731366065
322,markovo,57.3206,107.0881,-5.32,91,100,2.0,RU,1731366113
323,ta`u,-14.2336,-169.5144,27.31,74,46,6.54,AS,1731366114
324,zinjibar,13.1287,45.3807,26.67,70,7,3.57,YE,1731366116
325,adelaide,-34.9333,138.6,25.12,59,0,4.63,AU,1731365585
326,puerto deseado,-47.7503,-65.8938,15.05,44,100,4.39,AR,1731366081
327,el calafate,-50.3408,-72.2768,10.8,63,63,6.75,AR,1731366002
328,karamay,45.6004,84.8661,4.97,65,91,0.87,CN,1731366121
329,san rafael del yuma,18.4299,-68.6739,24.19,92,100,1.54,DO,1731366122
330,illizi,26.4833,8.4667,18.89,39,41,1.16,DZ,1731366123
331,grantsville,40.5999,-112.4644,20.16,19,0,9.39,US,1731365904
332,arangaon,18.6667,75.1833,20.04,59,21,3.35,IN,1731366125
333,safi,32.1667,-8.8333,16.69,81,0,3.97,MA,1731366126
334,lazaro cardenas,17.9583,-102.2,28.59,73,18,4.49,MX,1731366127
335,mejit,10.2753,170.8646,28.41,77,63,6.81,MH,1731366128
336,zhangjiakou,40.81,114.8794,4.94,48,0,1.44,CN,1731366129
337,le port,-20.9373,55.2919,22.98,95,34,3.32,RE,1731366130
338,labytnangi,66.6572,66.4183,-17.06,95,99,3.15,RU,1731365948
339,parras de la fuente,25.4167,-102.1833,26.11,39,5,4.13,MX,1731366132
340,ancud,-41.8697,-73.8203,10.89,87,100,4.47,CL,1731366134
341,kayangel,8.0823,134.7173,28.77,70,64,3.12,PW,1731366135
342,agat village,13.3886,144.6585,29.64,87,100,2.79,GU,1731366136
343,port alfred,-33.5906,26.891,17.32,96,2,0.45,ZA,1731366137
344,happy valley-goose bay,53.3168,-60.3315,0.17,64,100,0.0,CA,1731366138
345,corn island,12.1694,-83.0418,27.79,75,76,3.53,NI,1731366139
346,crane,31.3974,-102.3501,23.5,25,83,3.76,US,1731366140
347,bubaque,11.2833,-15.8333,28.99,68,51,3.89,GW,1731366141
348,nantucket,41.2835,-70.0995,15.06,88,0,5.66,US,1731366143
349,rongelap,11.1635,166.8941,28.45,78,39,7.17,MH,1731366144
350,maych'ew,12.7875,39.5422,11.85,81,74,3.75,ET,1731366145
351,tver,56.8619,35.8931,-0.77,83,100,2.02,RU,1731366146
352,al bayda',32.7627,21.7551,15.02,65,3,3.98,LY,1731366147
353,smirnykh,49.75,142.8333,-1.63,64,100,1.3,RU,1731366148
354,awjilah,29.1081,21.2869,19.53,38,97,4.0,LY,1731366149
355,inhambane,-23.865,35.3833,23.72,88,63,2.92,MZ,1731366150
356,ilulissat,69.2167,-51.1,-5.99,79,75,3.09,GL,1731366151
357,douentza,14.9951,-2.9517,25.48,18,0,2.39,ML,1731366152
358,mineiros,-17.5694,-52.5511,24.81,67,44,1.49,BR,1731366153
359,margate,51.3813,1.3862,9.83,83,52,2.68,GB,1731366155
360,ardestan,33.3761,52.3694,13.74,41,8,2.43,IR,1731366156
361,dryden,49.7833,-92.7503,-0.84,80,20,0.0,CA,1731366024
362,severobaykal'sk,55.65,109.3167,-5.95,94,100,1.37,RU,1731366158
